Tweet:531303140453134336, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096801276, MeCabTime:0.000315962, UsedTime:0.097242185

Tweet:531303143695343616, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096967918, MeCabTime:0.000345365, UsedTime:0.097436832

Tweet:531303143901253633, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097566737, MeCabTime:0.000408642, UsedTime:0.098094248

Tweet:531303143540137984, 2014-11-30T06:02:42+09:00, not japanese, Tweet:531303144630657024, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097561917, MeCabTime:0.00035228, UsedTime:0.098002966

Tweet:531303145230848000, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091322577, MeCabTime:0.000415765, UsedTime:0.09184911

Tweet:531303145113010176, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097826127, MeCabTime:0.000447543, UsedTime:0.098409372

Tweet:531303151576416257, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.09703741, MeCabTime:0.000333632, UsedTime:0.097495568

Tweet:531303151685885952, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096983003, MeCabTime:0.000428895, UsedTime:0.097533562

Tweet:531303151979085825, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=7&z=7&date=201411091330, filename:img/2014/11/09/x57y7_1330.png, 
readed png, RainTime:0.097376, MeCabTime:0.000324972, UsedTime:0.0978204

Tweet:531303152717688832, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=8&z=7&date=201411091330, filename:img/2014/11/09/x57y8_1330.png, 
readed png, RainTime:0.103179392, MeCabTime:0.00037393, UsedTime:0.103667512

Tweet:531303155045113856, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.090870215, MeCabTime:0.000352908, UsedTime:0.091331097

Tweet:531303156282454017, 2014-11-30T06:02:42+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
